id,title,external_id,overview,vote_average,poster_path
78,Grudge,874948,"Ahead of a promotion, a police chief becomes entangled in a deadly incident and uncovers an intrigue fueled by grudge that threatens his colleagues.",7,/xSqtHT2DWbWBZ4dUvvMs6z1OfFK.jpg
80,Mobile Suit Gundam Hathaway,685274,"After Char's rebellion, Hathaway Noa leads an insurgency against Earth Federation, but meeting an enemy officer and a mysterious woman alters his fate.",8,/6gw8onh4FKsruBA7Oouv01EFxzn.jpg
81,Raya and the Last Dragon,527774,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",8,/lPsD10PP4rgUGiGR4CCXA6iY0QQ.jpg
87,Ava,539885,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,5,/qzA87Wf4jo1h8JMk9GilyIYvwsA.jpg
93,Avengers: Infinity War,299536,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
96,The Marksman,634528,"Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.",7,/6vcDalR50RWa309vBH1NLmG2rjQ.jpg
100,The Amazing Spider-Man,1930,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",6,/jIfkQNARYyERqRAq1p1c8xgePp4.jpg
104,"Miraculous World: New York, United HeroeZ",755812,"During a school field trip, Ladybug and Cat Noir meet the American superheroes, whom they have to save from an akumatised super-villain. They discover that Miraculous exist in the United States too.",8,/19kfvGktytDZInUmpv3WlaHoTxP.jpg
122,Seobok,586047,"A former intelligence agent gets involved with the first human clone, Seo Bok, who others seek, causing trouble.",7,/nxxuWC32Y6TULj4VnVwMPUFLIpK.jpg
24,Old,631843,A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,6,/vclShucpUmPhdAOmKgf3B3Z4POD.jpg
27,LEGO Star Wars Terrifying Tales,857702,"Poe Dameron and BB-8 must face the greedy crime boss Graballa the Hutt, who has purchased Darth Vader’s castle and is renovating it into the galaxy’s first all-inclusive Sith-inspired luxury hotel.",7,/fYiaBZDjyXjvlY6EDZMAxIhBO1I.jpg
35,Don't Breathe 2,482373,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",7,/hRMfgGFRAZIlvwVWy8DYJdLTpvN.jpg
39,Jurassic Hunt,848278,"Female adventurer Parker joins a crew of male trophy hunters in a remote wilderness park. Their goal: slaughter genetically recreated dinosaurs for sport using rifles, arrows, and grenades. After their guide is killed by raptors, the team tries to escape the park – but the hunters quickly become the hunted. Even worse, the park’s manager suspects Parker of being a spy and sends a hit squad after her. This battle’s about to become primitive!",5,/bZnOioDq1ldaxKfUoj3DenHU7mp.jpg
40,Free Guy,550988,A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,7,/xmbU4JTUm8rsdtn7Y3Fcm30GpeT.jpg
41,Redemption Day,767304,"Having just returned home, decorated U.S. Marine Captain Brad Paxton's wife, Kate, is kidnapped by a terrorist group while working in Morocco. He is forced back into action for a daring and deadly operation to save the woman he loves.",6,/yCTo0s8xzQplZY5h70cRy2OA4Pt.jpg
50,Ava,453354,"Ava, 13, is spending the summer on the Atlantic coast when she learns that she will lose her sight sooner than expected. Her mother decides to act as if everything were normal so as to spend their best summer ever. Ava confronts the problem in her own way. She steals a big black dog that belongs to a young man on the run...",6,/cUI1PFsrQVJR3IZOpkfsOOOUhTO.jpg
54,There's Someone Inside Your House,512025,"As the countdown to graduation begins, students at Osborne High are being stalked by a maniac intent on exposing their darkest secrets to the entire town, terrorizing victims while wearing a life-like mask of their own face. With a mysterious past of her own, Makani and her friends must discover the killer's identity before they become victims themselves.",5,/GaPJQscaH4MtYQTbJyWjCUIho8.jpg
59,The Forever Purge,602223,All the rules are broken as a sect of lawless marauders decides that the annual Purge does not stop at daybreak and instead should never end as they chase a group of immigrants who they want to punish because of their harsh historical past.,7,/lB068qa6bQ0QKYKyC2xnYGvYjl7.jpg
61,The Courier,522241,Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.,7,/zFIjKtZrzhmc7HecdFXXjsLR2Ig.jpg
67,Miraculous World: Shanghai – The Legend of Ladydragon,726684,"On school break, Marinette heads to Shanghai to meet Adrien. But after arriving, Marinette loses all her stuff, including the Miraculous that allows her to turn into Ladybug!",7,/qQ0VKsGRQ2ofAmswGNzZnvC1xPE.jpg
75,Madres,796428,"A Mexican-American couple expecting their first child relocate to a migrant farming community in 1970's California. When the wife begins to experience strange symptoms and terrifying visions, she tries to determine if it's related to a legendary curse or something more nefarious",5,/19pHi0qrUKvnUtwx6EoVbFNxg1E.jpg
85,Jolt,617502,"Lindy is an acid-tongued woman with rage issues who controls her temper by shocking herself with an electrode vest. One day she makes a connection with Justin, who gives her a glimmer of hope for a shock-free future, but when he’s murdered she launches herself on a revenge-fueled rampage in pursuit of his killer.",6,/gYZAHan5CHPFXORpQMvOjCTug4E.jpg
88,The Misfits,581644,"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.",5,/dPOyYnCkRbWAEem85N3VFpQODf5.jpg
92,Mortal Kombat Legends: Battle of the Realms,841755,"The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",8,/ablrE8IbWcIrAxMmm4gnPn75AMS.jpg
97,Monster Hunter,458576,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",6,/1UCOF11QCw8kcqvce8LKOO6pimh.jpg
102,After We Collided,613504,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,7,/kiX7UYfOpYrMFSAGbI6j1pFkLzQ.jpg
109,Body Brokers,656940,"Utah and his girlfriend Opal, are drug addicts living on the streets in rural Ohio. After getting recruited by body broker Wood, and offered treatment in Los Angeles, Wood takes Utah under his wing and introduces him to treatment center mogul Vin. Wood and Vin bring Utah in on their lucrative and illegal dealings, where saving lives comes second to the bottom line.",6,/fNQUUrtlN79pDIMAPigX8NUvNW2.jpg
113,He's All That,347626,"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.",6,/kW3AG5NHoyq52dcSbMiFB6LyHvk.jpg
116,Pokémon the Movie: Secrets of the Jungle,662708,"In the Forest of Okoya, Koko is a feral child who has been raised as a Pokémon by the Mythical Pokémon Zarude. Koko has grown up never doubting that he is a Pokémon even though he can't really use any sort of moves. Ash Ketchum and Pikachu meet Koko and help him protect the Great Tree from the crooked scientist Dr. Zed.",7,/vGcHyV9s1N2I7bJLSBODvqHTYLL.jpg
121,Mutation on Mars,866408,"In the near future, the Earth’s resources are gradually getting scarce. In order to continue the hope of survival for generations of children and grandchildren, top scientists from various countries have brought several species of animals and plants to Mars for research, hoping to improve the Martian environment through advanced science and technology to make it suitable for human habitation.",6,/h4HcBZC8XMuSFBNxWu7qd34tFDI.jpg
25,"Matando Cabos 2, La Máscara del Máscara",772436,"Faced with the unexpected death of his estranged father -El Máscara- and the subsequent theft of his precious mask, Rubén -Mascarita- will find himself confronted with his past. Alongside his invincible bodyguard Tony ""The Cannibal"" and, an unexpected ally, he will have only one day to recover it and make amends with the memory of his father.",7,/5m66F9dIhWpi5MSO0hVcR2ZX9ct.jpg
28,Demonic,774021,A young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed.,5,/tcKtX4XWZq6vhGwhmmB8thdaabV.jpg
34,Space Jam: A New Legacy,379686,"When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",7,/5bFK5d3mVTAvBCXi5NPWH0tYjKl.jpg
38,Mortal Kombat,460465,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",7,/nkayOAUBUu4mMvyNf9iHSUiPjF1.jpg
44,No Time to Die,370172,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",7,/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg
47,How I Became a Superhero,641501,"Paris 2020. While superheroes have assimilated into the Parisian society, they discover a new drug that gives themselves personal superpowers to mere mortals. Lieutenants Moreau and Schaltzmann are investigating the case with the support of two ex-superheroes, Monte Carlo and Callista. They'll do whatever it takes to dismantle the traffic. But Moreau's past resurfaces, and the investigation becomes more complicated.",6,/d0wn9YtEnmbucx8ZUsT918ctoiK.jpg
